Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
0,0,0,44,18,18,102,140,106,-35,0,1
1,1,0,44,18,18,102,140,106,-35,0,0
2,2,0,44,18,18,102,140,106,-35,0,0
3,3,0,44,18,18,102,140,106,-35,0,0
4,4,0,44,18,18,102,76,-17,-35,0,1
5,5,0,44,18,18,102,76,-17,-35,0,0
6,6,0,44,18,18,102,76,-17,-35,0,0
7,7,0,44,18,18,12,76,-17,14,0,0
8,8,0,-76,-58,-58,12,76,-17,14,1,0
9,9,0,-76,-58,-58,12,-31,-100,14,0,1
10,10,0,-76,-58,-58,12,-31,-100,14,0,0
11,11,0,-76,-58,-58,12,-31,-100,14,0,0
12,12,0,-76,-58,-58,12,-31,-100,14,0,0
13,13,0,-76,-58,-58,12,-135,-98,14,0,1
14,14,0,-76,-58,-58,12,-135,-98,14,0,0
15,15,0,-76,-58,-58,12,-135,-98,14,0,0
16,16,0,-76,-58,-58,7,-135,-98,26,0,0
17,17,0,-276,-105,-105,7,-135,-98,26,1,0
18,18,0,-276,-105,-105,7,-176,-24,26,0,1
19,19,0,-276,-105,-105,7,-176,-24,26,0,0
20,20,0,-276,-105,-105,7,-176,-24,26,0,0
21,21,0,-276,-105,-105,7,-176,-24,26,0,0
22,22,0,-276,-105,-105,7,-124,60,26,0,1
23,23,0,-276,-105,-105,7,-124,60,26,0,0
24,24,0,-276,-105,-105,7,-124,60,26,0,0
25,25,0,-276,-105,-105,19,-124,60,33,0,0
26,26,0,-173,-213,-213,19,-124,60,33,1,0
27,27,0,-173,-213,-213,19,0,96,33,0,1
28,28,0,-173,-213,-213,19,0,96,33,0,0
29,29,0,-173,-213,-213,19,0,96,33,0,0
30,30,0,-173,-213,-213,19,0,96,33,0,0
31,31,0,-173,-213,-213,19,131,72,33,0,1
32,32,0,-173,-213,-213,19,131,72,33,0,0
33,33,0,-173,-213,-213,19,131,72,33,0,0
34,34,0,-173,-213,-213,-41,131,72,73,0,0
35,35,0,107,-140,-140,-41,131,72,73,1,0
36,36,0,107,-140,-140,-41,205,15,73,0,1
37,37,0,107,-140,-140,-41,205,15,73,0,0
38,38,0,107,-140,-140,-41,205,15,73,0,0
39,39,0,107,-140,-140,-41,205,15,73,0,0
40,40,0,107,-140,-140,-41,200,-28,73,0,1
41,41,0,107,-140,-140,-41,200,-28,73,0,0
42,42,0,107,-140,-140,-41,200,-28,73,0,0
43,43,0,107,-140,-140,-14,200,-28,80,0,0
44,44,0,176,231,231,-14,200,-28,80,1,0
45,45,0,176,231,231,-14,141,-32,80,0,1
46,46,0,176,231,231,-14,141,-32,80,0,0
47,47,0,176,231,231,-14,141,-32,80,0,0
48,48,0,176,231,231,-14,141,-32,80,0,0
49,49,0,176,231,231,-14,76,-10,80,0,1
50,50,0,176,231,231,-14,76,-10,80,0,0
51,51,0,176,231,231,-14,76,-10,80,0,0
52,52,0,176,231,231,92,76,-10,75,0,0
53,53,0,30,192,192,92,76,-10,75,1,0
54,54,0,30,192,192,92,37,11,75,0,1
55,55,0,30,192,192,92,37,11,75,0,0
56,56,0,30,192,192,92,37,11,75,0,0
57,57,0,30,192,192,92,37,11,75,0,0
58,58,0,30,192,192,92,22,9,75,0,1
59,59,0,30,192,192,92,22,9,75,0,0
60,60,0,30,192,192,92,22,9,75,0,0
61,61,0,30,192,192,53,22,9,70,0,0
62,62,0,-208,-236,-236,53,22,9,70,1,0
63,63,0,-208,-236,-236,53,4,-10,70,0,1
64,64,0,-208,-236,-236,53,4,-10,70,0,0
65,65,0,-208,-236,-236,53,4,-10,70,0,0
66,66,0,-208,-236,-236,53,4,-10,70,0,0
67,67,0,-208,-236,-236,53,-38,-29,70,0,1
68,68,0,-208,-236,-236,53,-38,-29,70,0,0
69,69,0,-208,-236,-236,53,-38,-29,70,0,0
70,70,0,-208,-236,-236,-50,-38,-29,-16,0,0
71,71,0,-240,-50,-50,-50,-38,-29,-16,1,0
72,72,0,-240,-50,-50,-50,-96,-41,-16,0,1
73,73,0,-240,-50,-50,-50,-96,-41,-16,0,0
74,74,0,-240,-50,-50,-50,-96,-41,-16,0,0
75,75,0,-240,-50,-50,-50,-96,-41,-16,0,0
76,76,0,-240,-50,-50,-50,-138,-53,-16,0,1
77,77,0,-240,-50,-50,-50,-138,-53,-16,0,0
78,78,0,-240,-50,-50,-50,-138,-53,-16,0,0
79,79,0,-240,-50,-50,-12,-138,-53,-88,0,0
80,80,0,131,482,482,-12,-138,-53,-88,1,0
81,81,0,131,482,482,-12,-136,-76,-88,0,1
82,82,0,131,482,482,-12,-136,-76,-88,0,0
83,83,0,131,482,482,-12,-136,-76,-88,0,0
84,84,0,131,482,482,-12,-136,-76,-88,0,0
85,85,0,131,482,482,-12,-87,-107,-88,0,1
86,86,0,131,482,482,-12,-87,-107,-88,0,0
87,87,0,131,482,482,-12,-87,-107,-88,0,0
88,88,0,131,482,482,48,-87,-107,0,0,0
89,89,0,299,387,387,48,-87,-107,0,1,0
90,90,0,299,387,387,48,-12,-113,0,0,1
91,91,0,299,387,387,48,-12,-113,0,0,0
92,92,0,299,387,387,48,-12,-113,0,0,0
93,93,0,299,387,387,48,-12,-113,0,0,0
94,94,0,299,387,387,48,54,-70,0,0,1
95,95,0,299,387,387,48,54,-70,0,0,0
96,96,0,299,387,387,48,54,-70,0,0,0
97,97,0,299,387,387,7,54,-70,103,0,0
98,98,0,-143,140,140,7,54,-70,103,1,0
99,99,0,-143,140,140,7,88,21,103,0,1
100,100,0,-143,140,140,7,88,21,103,0,0
101,101,0,-143,140,140,7,88,21,103,0,0
102,102,0,-143,140,140,7,88,21,103,0,0
103,103,0,-143,140,140,7,88,116,103,0,1
104,104,0,-143,140,140,7,88,116,103,0,0
105,105,0,-143,140,140,7,88,116,103,0,0
106,106,0,-143,140,140,-16,88,116,71,0,0
107,107,0,-394,301,301,-16,88,116,71,1,0
108,108,0,-394,301,301,-16,61,151,71,0,1
109,109,0,-394,301,301,-16,61,151,71,0,0
110,110,0,-394,301,301,-16,61,151,71,0,0
111,111,0,-394,301,301,-16,61,151,71,0,0
112,112,0,-394,301,301,-16,15,96,71,0,1
113,113,0,-394,301,301,-16,15,96,71,0,0
114,114,0,-394,301,301,-16,15,96,71,0,0
115,115,0,-394,301,301,5,15,96,19,0,0
116,116,0,29,244,244,5,15,96,19,1,0
117,117,0,29,244,244,5,-45,-20,19,0,1
118,118,0,29,244,244,5,-45,-20,19,0,0
119,119,0,29,244,244,5,-45,-20,19,0,0
120,120,0,29,244,244,5,-45,-20,19,0,0
121,121,0,29,244,244,5,-104,-118,19,0,1
122,122,0,29,244,244,5,-104,-118,19,0,0
123,123,0,29,244,244,5,-104,-118,19,0,0
124,124,0,29,244,244,-5,-104,-118,2,0,0
125,125,0,387,-40,-40,-5,-104,-118,2,1,0
126,126,0,387,-40,-40,-5,-138,-125,2,0,1
127,127,0,387,-40,-40,-5,-138,-125,2,0,0
128,128,0,387,-40,-40,-5,-138,-125,2,0,0
129,129,0,387,-40,-40,-5,-138,-125,2,0,0
130,130,0,387,-40,-40,-5,-120,-25,2,0,1
131,131,0,387,-40,-40,-5,-120,-25,2,0,0
132,132,0,387,-40,-40,-5,-120,-25,2,0,0
133,133,0,387,-40,-40,-20,-120,-25,-48,0,0
134,134,0,269,50,50,-20,-120,-25,-48,1,0
135,135,0,269,50,50,-20,-42,126,-48,0,1
136,136,0,269,50,50,-20,-42,126,-48,0,0
137,137,0,269,50,50,-20,-42,126,-48,0,0
138,138,0,269,50,50,-20,-42,126,-48,0,0
139,139,0,269,50,50,-20,66,241,-48,0,1
140,140,0,269,50,50,-20,66,241,-48,0,0
141,141,0,269,50,50,-20,66,241,-48,0,0
142,142,0,269,50,50,-38,66,241,-68,0,0
143,143,0,183,114,114,-38,66,241,-68,1,0
144,144,0,183,114,114,-38,147,260,-68,0,1
145,145,0,183,114,114,-38,147,260,-68,0,0
146,146,0,183,114,114,-38,147,260,-68,0,0
147,147,0,183,114,114,-38,147,260,-68,0,0
148,148,0,183,114,114,-38,150,194,-68,0,1
149,149,0,183,114,114,-38,150,194,-68,0,0
150,150,0,183,114,114,-38,150,194,-68,0,0
151,151,0,183,114,114,-57,150,194,-6,0,0
152,152,0,403,-141,-141,-57,150,194,-6,1,0
153,153,0,403,-141,-141,-57,63,108,-6,0,1
154,154,0,403,-141,-141,-57,63,108,-6,0,0
155,155,0,403,-141,-141,-57,63,108,-6,0,0
156,156,0,403,-141,-141,-57,63,108,-6,0,0
157,157,0,403,-141,-141,-57,-72,70,-6,0,1
158,158,0,403,-141,-141,-57,-72,70,-6,0,0
159,159,0,403,-141,-141,-57,-72,70,-6,0,0
160,160,0,403,-141,-141,11,-72,70,44,0,0
161,161,0,580,-60,-60,11,-72,70,44,1,0
162,162,0,580,-60,-60,11,-178,98,44,0,1
163,163,0,580,-60,-60,11,-178,98,44,0,0
164,164,0,580,-60,-60,11,-178,98,44,0,0
165,165,0,580,-60,-60,11,-178,98,44,0,0
166,166,0,580,-60,-60,11,-197,151,44,0,1
167,167,0,580,-60,-60,11,-197,151,44,0,0
168,168,0,580,-60,-60,11,-197,151,44,0,0
169,169,0,580,-60,-60,76,-197,151,30,0,0
170,170,0,340,232,232,76,-197,151,30,1,0
171,171,0,340,232,232,76,-118,168,30,0,1
172,172,0,340,232,232,76,-118,168,30,0,0
173,173,0,340,232,232,76,-118,168,30,0,0
174,174,0,340,232,232,76,-118,168,30,0,0
175,175,0,340,232,232,76,15,122,30,0,1
176,176,0,340,232,232,76,15,122,30,0,0
177,177,0,340,232,232,76,15,122,30,0,0
178,178,0,340,232,232,-10,15,122,-22,0,0
179,179,0,-200,-7,-7,-10,15,122,-22,1,0
180,180,0,-200,-7,-7,-10,135,40,-22,0,1
181,181,0,-200,-7,-7,-10,135,40,-22,0,0
182,182,0,-200,-7,-7,-10,135,40,-22,0,0
183,183,0,-200,-7,-7,-10,135,40,-22,0,0
184,184,0,-200,-7,-7,-10,194,-20,-22,0,1
185,185,0,-200,-7,-7,-10,194,-20,-22,0,0
186,186,0,-200,-7,-7,-10,194,-20,-22,0,0
187,187,0,-200,-7,-7,-63,194,-20,-69,0,0
188,188,0,-516,-408,-408,-63,194,-20,-69,1,0
189,189,0,-516,-408,-408,-63,183,-21,-69,0,1
190,190,0,-516,-408,-408,-63,183,-21,-69,0,0
191,191,0,-516,-408,-408,-63,183,-21,-69,0,0
192,192,0,-516,-408,-408,-63,183,-21,-69,0,0
193,193,0,-516,-408,-408,-63,135,25,-69,0,1
194,194,0,-516,-408,-408,-63,135,25,-69,0,0
195,195,0,-516,-408,-408,-63,135,25,-69,0,0
196,196,0,-516,-408,-408,63,135,25,-21,0,0
197,197,0,-368,-302,-302,63,135,25,-21,1,0
198,198,0,-368,-302,-302,63,93,67,-21,0,1
199,199,0,-368,-302,-302,63,93,67,-21,0,0
200,200,0,-368,-302,-302,63,93,67,-21,0,0
201,201,0,-368,-302,-302,63,93,67,-21,0,0
202,202,0,-368,-302,-302,63,92,57,-21,0,1
203,203,0,-368,-302,-302,63,92,57,-21,0,0
204,204,0,-368,-302,-302,63,92,57,-21,0,0
205,205,0,-368,-302,-302,130,92,57,74,0,0
206,206,0,-22,17,17,130,92,57,74,1,0
207,207,0,-22,17,17,130,134,-4,74,0,1
208,208,0,-22,17,17,130,134,-4,74,0,0
209,209,0,-22,17,17,130,134,-4,74,0,0
210,210,0,-22,17,17,130,134,-4,74,0,0
211,211,0,-22,17,17,130,202,-71,74,0,1
212,212,0,-22,17,17,130,202,-71,74,0,0
213,213,0,-22,17,17,130,202,-71,74,0,0
214,214,0,-22,17,17,54,202,-71,31,0,0
215,215,0,228,113,113,54,202,-71,31,1,0
216,216,0,228,113,113,54,264,-85,31,0,1
217,217,0,228,113,113,54,264,-85,31,0,0
218,218,0,228,113,113,54,264,-85,31,0,0
219,219,0,228,113,113,54,264,-85,31,0,0
220,220,0,228,113,113,54,290,-30,31,0,1
221,221,0,228,113,113,54,290,-30,31,0,0
222,222,0,228,113,113,54,290,-30,31,0,0
223,223,0,228,113,113,49,290,-30,-89,0,0
224,224,0,159,-41,-41,49,290,-30,-89,1,0
225,225,0,159,-41,-41,49,260,59,-89,0,1
226,226,0,159,-41,-41,49,260,59,-89,0,0
227,227,0,159,-41,-41,49,260,59,-89,0,0
228,228,0,159,-41,-41,49,260,59,-89,0,0
229,229,0,159,-41,-41,49,170,116,-89,0,1
230,230,0,159,-41,-41,49,170,116,-89,0,0
231,231,0,159,-41,-41,49,170,116,-89,0,0
232,232,0,159,-41,-41,84,170,116,-59,0,0
233,233,0,-220,-287,-287,84,170,116,-59,1,0
234,234,0,-220,-287,-287,84,39,94,-59,0,1
235,235,0,-220,-287,-287,84,39,94,-59,0,0
236,236,0,-220,-287,-287,84,39,94,-59,0,0
237,237,0,-220,-287,-287,84,39,94,-59,0,0
238,238,0,-220,-287,-287,84,-100,-4,-59,0,1
239,239,0,-220,-287,-287,84,-100,-4,-59,0,0
240,240,0,-220,-287,-287,84,-100,-4,-59,0,0
241,241,0,-220,-287,-287,20,-100,-4,68,0,0
242,242,0,-385,-252,-252,20,-100,-4,68,1,0
243,243,0,-385,-252,-252,20,-208,-124,68,0,1
244,244,0,-385,-252,-252,20,-208,-124,68,0,0
245,245,0,-385,-252,-252,20,-208,-124,68,0,0
246,246,0,-385,-252,-252,20,-208,-124,68,0,0
247,247,0,-385,-252,-252,20,-258,-204,68,0,1
248,248,0,-385,-252,-252,20,-258,-204,68,0,0
249,249,0,-385,-252,-252,20,-258,-204,68,0,0
250,250,0,-385,-252,-252,-11,-258,-204,92,0,0
251,251,0,-174,71,71,-11,-258,-204,92,1,0
252,252,0,-174,71,71,-11,-245,-210,92,0,1
253,253,0,-174,71,71,-11,-245,-210,92,0,0
254,254,0,-174,71,71,-11,-245,-210,92,0,0
255,255,0,-174,71,71,-11,-245,-210,92,0,0
256,256,0,-174,71,71,-11,-184,-151,92,0,1
257,257,0,-174,71,71,-11,-184,-151,92,0,0
258,258,0,-174,71,71,-11,-184,-151,92,0,0
259,259,0,-174,71,71,33,-184,-151,47,0,0
260,260,0,-191,92,92,33,-184,-151,47,1,0
261,261,0,-191,92,92,33,-99,-65,47,0,1
262,262,0,-191,92,92,33,-99,-65,47,0,0
263,263,0,-191,92,92,33,-99,-65,47,0,0
264,264,0,-191,92,92,33,-99,-65,47,0,0
265,265,0,-191,92,92,33,-11,9,47,0,1
266,266,0,-191,92,92,33,-11,9,47,0,0
267,267,0,-191,92,92,33,-11,9,47,0,0
268,268,0,-191,92,92,-2,-11,9,67,0,0
269,269,0,-363,-159,-159,-2,-11,9,67,1,0
270,270,0,-363,-159,-159,-2,65,50,67,0,1
